PMID,Title,Abstract,MeSH,Keywords,Type
37437718,Occupational stress and depression of Korean employees: Moderated mediation model of burnout and grit.,"The present study investigated an interpersonal model of development of depressive symptoms in employees, where occupational stress affects burnout, which in turn affects risk for depression, and whether this mediation is moderated by grit. A total of 11,421 participants, aged 19 to 65 years, who were employees of 18 private companies and local government organizations in Korea were included. They completed questionnaires, including the Korean version of occupational stress scale, Oldenburg Burnout Inventory, Center for Epidemiologic Studies Depression scale and Grit scale. Mediation and moderation analyses were carried out in the Statistical Package for the Social Sciences PROCESS macro. The association between occupational stress and depressive symptoms was mediated by exhaustion (b = -0.256, 95 % CI [0.244, 0.268]) and disengagement (b = -0.052, 95 % CI [0.039, 0.065]). Moreover, the effect of exhaustion on depressive symptoms was moderated by each grit, with the effect being stronger for employees with low grit (b = 0.939, p < 0.001 for passion and b = 0.629, p < 0.001 for perseverance) than for those with high grit (b = 0.944, p < 0.001 for passion and b = 0.686, p < 0.001 for perseverance). The cross-sectional design of the study does not allow causal inferences. These findings contribute to the understanding of how occupational stress predicts depressive symptoms in the workplace and provide practical implications for preventing burnout and nurturing grit to protect employees' mental health in the workplace.",[],"['Burnout', 'Depression', 'Grit', 'Occupational stress', 'Workplace mental health']",Journal Article
25553235,Mandatory physical exercise for the prevention of mental illness in medical students.,"Medical students experience higher rates of mental illness than the general population. With competition rising for success in medical school, and residency, increasing incidence of distress are leading this population to experience higher rates of thoughts of dropping out of school, and even suicide. Since many stigmas deter medical students from receiving mental health counseling, such as the perceived inability to handle the stresses of medical school, and the potential lack of competitiveness for residencies if reported, prevention of mental illness may be a better course to take in reducing prevalence in this population. Regular exercise has demonstrated a positive effect on not only promoting physical health, but also mental health. Exercise encourages a healthy mood, positive self esteem, and better cognition, while decreasing the chances of depression, anxiety, and burnout. Implementing exercise time into medical school curriculums, just like the basic sciences, albeit for less time in the day, could provide a feasible way to ensure that all students are taking time to partake in this important activity for their well being. Though medical schools are rigid with attempts to make changes in their curriculum, thirty minutes a day, three to five times a week of exercise of the students' choice not only is more cost effective than counseling, but it also reduces the chances that they will experience burnout, which if left untreated could transcend into a compromised training experience.",[],"['exercise', 'medical student', 'mental illness', 'prevention']",Review
35564934,Stress-Inducing Factors vs. the Risk of Occupational Burnout in the Work of Nurses and Paramedics.,"Contemporary healthcare faces new challenges and expectations from society. The profession of a nurse, as well as a paramedic, is essential for the efficient functioning of healthcare. It has its importance not only in promoting and preserving health but also in prevention. With the increasing importance of providing medical care at the highest level, it is expected of these two professional groups to have more knowledge and skills than a few years earlier. The daily contact with patients and their families, the low level of control of the environment, the hierarchical system of professional dependence, and the dissatisfaction with remuneration are becoming extremely burdensome aspects of the nursing and paramedic professions. Long-term exposure to stressors associated with these medical professions may, in the long term, lead to the emergence of occupational burnout syndrome. The aim of this study is an attempt to answer the question of whether and how stress factors affect the occurrence of occupational burnout in the work of nurses and paramedics working in various medical entities. The study covered a group of 434 respondents, including 220 nurses and 214 paramedics, working professionally in hospital departments and care and treatment facilities as well as in hospital emergency departments and ambulance services. The study was carried out using a diagnostic survey based on the questionnaire technique using the authors' questionnaire and the standardized MBI Ch. Maslach. Two statistical values were used to statistically analyze the research results and verify the adopted hypotheses: the chi-square test and the Student's t-test. The current study showed that the phenomenon of occupational burnout among the studied group affects only nurses, while this problem does not apply to the studied paramedics. The main stressor among the nurses and paramedics is, above all, a very high level of responsibility. Nurses are overburdened by excessive demands and shift work, while paramedics are mostly burdened by an excess of duties. Both nurses and paramedics claim that their work is often stressful, which leads to physical and mental exhaustion.","['Allied Health Personnel', 'Burnout, Professionalepidemiology', 'Emergency Medical Technicians', 'Humans', 'Nurses', 'Surveys and Questionnaires']","['burnout', 'nurses', 'paramedics', 'stress']",Journal Article
35989635,Factors Influencing Nurses' Self Care Practices.,"Background: The COVID-19 pandemic has exposed nurses to more stress and inability to practice self-care activities. These have resulted in conditions that threaten their health, well-being, and ability to work. Nurses' lack of self-care can predispose them to chronic health conditions and staff burnout which may adversely affect patient care. The panacea for this concern is a deliberate effort to promote holistic health and wellbeing through self-care activities targeted towards physical, mental, social and spiritual aspects of nurses. The purpose of this study was to explore factors influencing self-care practices among registered nurses during COVID-19 pandemic. Methods: Convenience sampling was used to select 294 nurses from four urban hospitals in Kingston Jamaica. A questionnaire was utilized for data collection. Logistical regression analysis was conducted using Statistical Package for Social Sciences (SPSS) software version 22.0. Ethical approval was obtained. Results: The response rate was 46% (Out of 294 questionnaires distributed, only 136 were returned). Although 93% of participants engage in self-care activities during COVID-19 pandemic, only 45% practiced self-care on a daily basis. Half of the participants (50%) practiced self care activities sometimes while 5% do not engage in self care practices. Activities that promote psychological and social wellbeing were not common among participants. Most self care activities were towards the promotion of physical health and wellbeing. Majority of respondents indicated that excess workload, fatigue, lack of time and poor remuneration are factors that prevent their practice of self-care. Findings also revealed that demographic data such as age, sex, income, gender and ethnic background influences self-care practices among nurses. Conclusion: The practice of self care among nurses needs improvements. Although respondents engage in some activities to care for self, majority are not consistent with this practice.",[],"['COVID-19 pandemic', 'holistic health', 'holistic wellbeing', 'hospitals', 'registered nurses', 'self care', 'self care practices']",Journal Article
37484670,"Resilient, but for how long? The relationships between temperament, burnout, and mental health in healthcare workers during the Covid-19 pandemic.","Dispositional traits of wellbeing and stress-reaction are strong predictors of mood symptoms following stressful life events, and the COVID-19 pandemic introduced many life stressors, especially for healthcare workers. We longitudinally investigated the relationships among positive and negative temperament group status (created according to wellbeing and stress-reaction personality measures), burnout (exhaustion, interpersonal disengagement), COVID concern (e.g., health, money worries), and moral injury (personal acts, others' acts) as predictors of generalized anxiety, depression, and post-traumatic stress symptoms in 435 healthcare workers. Participants were employees in healthcare settings in North Central Florida who completed online surveys monthly for 8 months starting in October/November 2020. Multidimensional Personality Questionnaire subscale scores for stress-reaction and wellbeing were subjected to K-means cluster analyses that identified two groups of individuals, those with high stress-reaction and low wellbeing (negative temperament) and those with the opposite pattern defined as positive temperament (low stress-reaction and high wellbeing). Repeated measures ANOVAs assessed all time points and ANCOVAs assessed the biggest change at timepoint 2 while controlling for baseline symptoms. The negative temperament group reported greater mood symptoms, burnout, and COVID concern, than positive temperament participants overall, and negative participants' scores decreased over time while positive participants' scores increased over time. Burnout appeared to most strongly mediate this group-by-time interaction, with the burnout exhaustion scale driving anxiety and depression symptoms. PTSD symptoms were also related to COVID-19 health worry and negative temperament. Overall, results suggest that individuals with higher stress-reactions and more negative outlooks on life were at risk for anxiety, depression, and PTSD early in the COVID-19 pandemic, whereas individuals with positive temperament traits became more exhausted and thus more symptomatic over time. Targeting interventions to reduce mood symptoms in negative temperament individuals and prevent burnout/exhaustion in positive temperament individuals early in an extended crisis may be an efficient and effective approach to reduce the mental health burden on essential workers.",[],"['Covid-19 pandemic', 'PTSD', 'anxiety', 'burnout', 'depression', 'healthcare workers', 'longitudinal', 'temperament']",Journal Article
36948157,Effects of occupation-specific vocal stress on the mental health of day care teachers.,"Kindergarten teachers are exposed to numerous kinds of strains, such as noise, which can negatively affect their voices. This cross-sectional study investigates whether and to what extent the profession-specific high vocal demand is associated with the educators' mental health. One hundred and ninety-two kindergarten teachers from Magdeburg, Germany and its surrounding areas aged 43.4 ± 12.8 years, voluntarily participated in a survey. Vocal demand and vocal demand response, general strain factors, and mental health were assessed by using questionnaires (self-check on voice demands, Rudow checklist, General Health Questionnaire, and Maslach Burnout Inventory). The statistical analyses were carried out using SPSS. The interviewed educators felt stressed by the excessive number of work tasks and children in each class, noisy work environment, and loud conversations. In addition, educators complained of headaches and neck pain (66%), while 28% of them experienced hoarseness and a burning throat. The mental health of 39 of the educators was impaired, and nine were at an increased risk of burnout. Self-reported voice effort correlated low with mental health (r =.287; p < 0,001) and burnout risk (r =.306; p < 0.001). The vocal demands on educators in day care settings are very high, which is a major associated factor for the development of burnout syndrome and is also associated with headaches and neck pain. Measures for the prevention of occupational voice disorders and voice training should be a mandatory part of the educators' training and must be offered as in-service training.",[],[],Journal Article
32462783,Impact of COVID-19 on the mental health of surgeons and coping strategies.,"Unprecedented times call for extraordinary measures. While surgeons across the globe try to comprehend the evolving facade of the COVID-19 pandemic and improvise surgical practice to the best of their ability, the psychological impact of the stress on their own mental health and well-being has been underestimated. This paper aims to review the indirect and overt factors that may affect the mental health of a surgeon in the present circumstances. Furthermore, it will aim to highlight key coping mechanisms at an individual and institutional level, so as to mitigate the negative psychological impact on surgeons.","['Adaptation, Psychological', 'Anxietyetiology', 'Betacoronavirus', 'Burnout, Professionalprevention & control', 'COVID-19', 'Communicable Disease Control', 'Coronavirus Infectionsepidemiologypsychologytransmission', 'Health Behavior', 'Humans', 'Infection Control', 'Infectious Disease Transmission, Patient-to-Professionalprevention & control', 'Life Style', 'Mindfulness', 'Occupational Exposureprevention & control', 'Pandemics', 'Personal Protective Equipment', 'Pneumonia, Viralepidemiologypsychologytransmission', 'SARS-CoV-2', 'Self Care', 'Social Isolation', 'Social Support', 'Stress, Psychologicaletiology', 'Surgeonspsychology']","['COVID-19 impact', 'head neck', 'mental health', 'otolaryngology', 'surgeons']",Journal Article
29320037,,"The Norwegian Knowledge Centre for the Health Services (NOKC) was asked by the The Norwegian Institute of Public Health to systematically review the research about the effects of workplace-based interventions for employees’ mental health. We included three systematic reviews of high quality: Preventing occupational stress in healthcare workers . Psychosocial interventions for prevention of psychological disorders in law enforcement officers. Flexible working conditions for all employees: Stress management for health personnel probably reduces the risk of anxiety. There is probably a positive short-tem effect on stress and burn-out. The quality of the evidence is low. . It is uncertain if mental image training, physical training or stress management have an effect on anxiety, depression, post-traumatic stress, stress or burn-out in police personnel. The quality of the evidence is very low. . It is uncertain if gradual retirement, or involuntary part-time work has an effect on employees’ mental health. It is uncertain if flexible work arrangements reduces stress, mental strain, or affect the quality of life, restitution, self image, quality of sleep, and alertness in employees. The quality of the evidence is very low. . We did not find documentation on workplace-based interventions for employees’ mental health for outcomes such as employees' function, productivity, absense, disability, sick-leave, costs and adverse events. The included high quality systematic reviews are not updated and more recently published randomized controlled trials may alter the conclusions. There is a need for updated systematic reviews in this field.",[],"['Workplace', 'Mental Health', 'Occupational Health', 'Occupational Health Services', 'Employee']",Review
33790702,Physician Burnout: A Lifestyle Medicine Perspective.,"Physician burnout, as described in North America, is a multidimensional work-related syndrome that includes emotional exhaustion, depersonalization, and a low sense of accomplishment from work. More than 50% of physicians were reporting symptoms of burnout prior to the COVID-19 pandemic. This silent epidemic of burnout is bound to become less silent as the pandemic continues. Lifestyle medicine is an evidence-based discipline that describes how daily habits and health practices can affect overall health and well-being of individuals. Lifestyle Medicine can potentially play a significant role in preventing and ameliorating physician burnout. This article explores the burnout process, including the historical context, international definitions, symptoms, and imprecision of the clinical diagnosis. The systemic etiological issues are discussed, and the psychological underpinnings are explored, including physicians' personal vulnerabilities contributing to burnout. The stress response and lifestyle medicine's role in healthy coping are described. A prevention model for risk factor reduction is proposed, focusing on primordial, primary, secondary, and tertiary prevention. Lifestyle medicine clinicians' role in prevention, treatment, and advocacy to ameliorate the potential for burnout is discussed along with specific recommendations.",[],"['and tertiary prevention', 'lifestyle medicine', 'physician burnout risk reduction', 'primary', 'primordial', 'psychological vulnerabilities to burnout', 'secondary', 'stress response']",Journal Article
17219947,The older anaesthetist.,"It is not possible to generalise about the way in which increasing years affect the performance of an individual anaesthetist. Physical and mental deterioration occurs as we age; most anaesthetists will be able to reach the normal retirement age of 65 years without that deterioration affecting their clinical practice. In some, however, decreasing competence and an unwillingness to embrace a continuing education regime may offer a direct threat to patient safety. Stress and 'burnout' are common in anesthetists; clinical depression can often be one of the factors involved. Continuing involvement in the on-call rota is a potent stressor. Airline pilots are required to retire at 60 years; the feasibility and desirability of applying this process to anaesthetists are discussed. Employers have a duty to provide employees with adequate and achievable demands in relation to their agreed hours of work and to have in place policies and procedures to offer adequate support.","['Aged', 'Anesthesiology', 'Burnout, Professionalprevention & controlpsychology', 'Clinical Competence', 'Humans', 'Mental Health', 'Physician Impairmentpsychology', 'Prejudice', 'Quality Assurance, Health Careorganization & administration', 'United Kingdom']",[],Journal Article
21950228,Stress at work and burnout syndrome in hospital doctors.,"Reforming the health care system in Bosnia and Herzegovina began in 1998 through various forms of amendments to existing health plans and programs. There has been the introduction of new technologies, flow of new information from the profession, excessive demands on employers, financial constraints, etc. The hospital doctors in the workplace suffer from too many stressors. Burnout syndrome at work is a form of chronic stress reactions to stressors, and develops as a result of inefficient coping with and solving every day, demanding stressful situations related to professional duties. The goals of this study were: to identify the specific stressors of high intensity in the hospital physicians work environment, to discover whether and how certain stressors can affect the appearance of burnout syndrome at work in a hospital physician, to determine whether certain individual factors influence the occurrence of burnout syndrome at work. We made the intersection study involving the use of questionnaires, in order to assess the stressors and burnout syndrome in hospital among doctors of the University Clinical Center in Tuzla. The study comprised 34.7% hospital doctors (specialists and doctors on specialization) of a total 423 employees in various departments of the University Hospital Clinical Center in Tuzla. High level of emotional exhaustion was recorded in 37.4%, a high level of depersonalization in 45.6%, and a low level in perceptions of personal accomplishments in 50.3% of respondents. Continuous exposure to stressors at the workplace, such as work at shifts, excessive workload, poor communication with superiors, and lack of continuous education of hospital physicians can lead to mental and physical exhaustion, professional burnout. Management of the University Clinical Center Tuzla should in the future address the structural reorganization of workplaces, as well as ongoing prevention interventions in other domains of risk factors or stressors, that this study identified.","['Bosnia and Herzegovina', 'Burnout, Professionaldiagnosisetiology', 'Humans', 'Job Satisfaction', 'Medical Staff, Hospitalpsychology', 'Personality', 'Stress, Psychologicalcomplicationsdiagnosis', 'Surveys and Questionnaires']",[],Journal Article
22388107,Avoiding burnout: the personal health habits and wellness practices of US surgeons.,"To evaluate the health habits, routine medical care practices, and personal wellness strategies of American surgeons and explore associations with burnout and quality of life (QOL). Burnout and low mental QOL are common among US surgeons and seem to adversely affect quality of care, job satisfaction, career longevity, and risk of suicide. The self-care strategies and personal wellness promotion practices used by surgeons to deal with the stress of practice are not well explored. Members of the American College of Surgeons were sent an anonymous, cross-sectional survey in October 2010. The survey included self-assessment of health habits, routine medical care practices, and personal wellness strategies and standardized assessments of burnout and QOL. Of 7197 participating surgeons, 3911 (55.0%) participated in aerobic exercise and 2611 (36.3%) in muscle strengthening activities, in a pattern consistent with the Centers for Disease Control and Prevention recommendations. The overall and physical QOL scores were superior for surgeons' following the Centers for Disease Control and Prevention recommendations (all P < 0.0001). A total of 3311 (46.2%) participating surgeons had seen their primary care provider in the last 12 months. Surgeons who had seen their primary care provider in the last 12 months were more likely to be up to date with all age-appropriate health care screening and had superior overall and physical QOL scores (all P < 0.0001). Ratings of the importance of 16 personal wellness promotion strategies differed for surgeons without burnout (all P < 0.0001). On multivariate analysis, surgeons placing greater emphasis on finding meaning in work, focusing on what is important in life, maintaining a positive outlook, and embracing a philosophy that stresses work/life balance were less likely to be burned out (all P < 0.0001). Although many factors associated with lower risk of burnout were also associated with achieving a high overall QOL, notable differences were observed, indicating surgeons' need to employ a broader repertoire of wellness promotion practices if they desire to move beyond neutral and achieve high well-being. This study identifies specific measures surgeons can take to decrease burnout and improve their personal and professional QOL.","['Burnout, Professionalprevention & control', 'Cross-Sectional Studies', 'Exercise', 'Female', 'General Surgery', 'Health Behavior', 'Health Surveys', 'Humans', 'Logistic Models', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Personal Satisfaction', 'Physicianspsychology', 'Quality of Life', 'Self Care', 'United States']",[],Journal Article
37053471,Steps toward a resilient future nurse workforce.,"The psychosocial needs of nursing students are a pressing matter as mental health disorders may affect nursing students' journeys as professional nurses. Psychological distress and burnout in nurses are threats to worldwide health care, as the stress associated with the COVID-19 pandemic could lead to an unstable future global nurse workforce. Resiliency training can positively impact nurse stress, mindfulness, and resilience, as resilient nurses are better able to manage their response to stress and adversity which will contribute to positive patient outcomes. Educating faculty on resilience will aid nurse educators to create new student instructional approaches to improve mental health wellness. Supportive faculty behaviors, self-care techniques, and resilience-building infused throughout the nursing curriculum may promote the effective transitioning of students into practice, providing the necessary foundation for improving workplace stress management and increasing longevity and satisfaction in the profession.","['Humans', 'Pandemics', 'COVID-19epidemiology', 'Occupational Stressprevention & controlpsychology', 'Burnout, Professionalprevention & controlpsychology', 'Workforce', 'Resilience, Psychological']","['mental health', 'nurse educators', 'nursing students', 'resiliency']",Journal Article
36191645,Implementation context and burnout among Department of Veterans Affairs psychotherapists prior to and during the COVID-19 pandemic.,"The first goal of this study was to assess longitudinal changes in burnout among psychotherapists prior to (T1) and during the COVID-19 pandemic (T2). The second objective was to assess the effects of job demands, job resources (including organizational support for evidence-based psychotherapies, or EBPs) and pandemic-related stress (T2 only) on burnout. Psychotherapists providing EBPs for posttraumatic stress disorder in U.S. Department of Veterans Affairs (VA) facilities completed surveys assessing burnout, job resources, and job demands prior to (T1; n = 346) and during (T2; n = 193) the COVID-19 pandemic. Burnout prevalence increased from 40 % at T1 to 56 % at T2 (p < .001). At T1, stronger implementation climate and implementation leadership (p < .001) and provision of only cognitive processing therapy (rather than use of prolonged exposure therapy or both treatments; p < .05) reduced burnout risk. Risk factors for burnout at T2 included T1 burnout, pandemic-related stress, less control over when and how to deliver EBPs, being female, and being a psychologist rather than social worker (p < .02). Implementation leadership did not reduce risk of burnout at T2. This study involved staff not directly involved in treating COVID-19, in a healthcare system poised to transition to telehealth delivery. Organizational support for using EBPs reduced burnout risk prior to but not during the pandemic. Pandemic related stress rather than increased work demands contributed to elevated burnout during the pandemic. A comprehensive approach to reducing burnout must address the effects of both work demands and personal stressors.","['Humans', 'Female', 'Male', 'COVID-19epidemiologyprevention & control', 'Pandemicsprevention & control', 'Psychotherapists', 'Veterans', 'Burnout, Professionalepidemiologypsychology', 'Surveys and Questionnaires', 'Job Satisfaction']","['Burnout', 'COVID-19', 'Healthcare professionals', 'Implementation climate', 'Job demands-resources']",Journal Article
32272758,"Yoga and Mindfulness as a Tool for Influencing Affectivity, Anxiety, Mental Health, and Stress among Healthcare Workers: Results of a Single-Arm Clinical Trial.","Mindfulness-based interventions have emerged as unique approaches for addressing a range of clinical and subclinical difficulties such as stress, chronic pain, anxiety, or recurrent depression. Moreover, there is strong evidence about the positive effects of yoga practice on stress management and prevention of burnout among healthcare workers. The aim of this study was to conduct a single-arm clinical trial to assess the effectiveness of an intervention based on mindfulness-based stress reduction and yoga in improving healthcare workers' quality of life. Healthcare workers of two hospitals in Rome were enrolled in a 4-week yoga and mindfulness course. Four questionnaires were administered at different times (Short Form-12 (SF-12), State-Trait Anxiety Inventory (STAI) Y1 and Y2, and Positive and Negative Affect Schedule (PANAS)) to evaluate the efficacy of the intervention. Forty participants took part to the study (83.3 %). The Mental Composite Score-12, that is part of the quality of life assessment, passed from a median of 43.5 preintervention to 48.1 postintervention (p = 0.041), and the negative affect passed from a score of 16 in the preintervention to 10 in the postintervention (p < 0.001). Both the forms of the STAI questionnaires showed a decrease after the intervention. Yoga and mindfulness administered together seem to be effective to reduce stress and anxiety in healthcare workers, providing them with more consciousness and ability to manage work stressful demands.",[],"['affectivity', 'anxiety', 'clinical trial', 'healthcare workers', 'mental health', 'mindfulness', 'stress', 'yoga']",Journal Article
33597981,Burnout and quality of life among correctional officers in a women's correctional facility.,"The correctional officer career is considered a stressful and risky occupation that can affect the mental health of workers due to stress and burnout; this syndrome presents itself with physical, psychological, behavioral, and defensive symptoms, ultimately affecting quality of life. To evaluate the sociodemographic profile, burnout levels, and quality of life of female correctional officers in a women's correctional facility, as well as to verify possible correlations between these variables. This is a descriptive cross-sectional study performed in a women's correctional facility located in Aquiraz, in the state of Ceará, through the use of 3 evaluation instruments: the Maslach Burnout Inventory-General Survey, the abbreviated version of the World Health Organization Quality of Life instrument, and a general information questionnaire. Most of the correctional officers were married or cohabiting, aged between 31 and 40 years old, with complete or partial undergraduate education, and at least 1 child. In the burnout investigation, mean scores were 1.9±1.43, indicating a moderate level of burnout. Regarding quality of life, the environment domain presented the lowest scores (57.34%). We observed a correlation between burnout and quality of life, in which the higher the burnout scores, the lower the quality of life reported by correctional officers. Our data demonstrate that correctional officers face a risk of developing burnout, thus affecting their quality of life; therefore, preventive health care measures are required for these professionals.",[],"['burnout', 'correctional facility', 'occupational health', 'quality of life']",Journal Article
26329810,"Mindfulness, perceived stress, and subjective well-being: a correlational study in primary care health professionals.","Primary health care professionals (PHPs) usually report high levels of distress and burnout symptoms related to job strain. Mindfulness, defined as non-judgmental-present-moment awareness, seems to be a moderator in the causal association between life stressors and well-being. This study aimed to verify correlations among self-reported mindfulness, perceived stress (PS), and subjective well-being (SW) in Brazilian PHPs. We performed a correlational cross-sectional study in a purposive sample of Brazilian PHPs (physicians, nurses, nursing assistants, and community health workers), working in community-oriented primary care programs (known locally as ""Family Health Programs""). We used validated self-reporting instruments: the Mindful Attention Awareness Scale (MAAS), the Perceived Stress Scale (PSS), and the Subjective Well-being Scale (SWS). We performed a multivariate analysis of variance (MANOVA), through regression coefficients (beta) in relation to the professional category (nursing assistant), in addition to the length of time in the same job (under than 6 months) that had indicated the lowest level of PS. Participants (n=450) comprised community health workers (65.8%), nursing assistants (18%), registered nurses (10.0%), and doctors (family physicians) (6.0%); 94% were female and 83.1% had worked in the same position for more than one year. MANOVA regression analysis showed differences across professional categories and length of time in the same job position in relation to mindfulness, PS, and SW. Nurses demonstrated lower levels of mindfulness, higher PS, and SW negative affect, as well as lower SW positive affect. Being at work for 1 year or longer showed a clear association with higher PS and lower SW positive affect, and no significance with mindfulness levels. Pearson's coefficient values indicated strong negative correlations between mindfulness and PS, and medium correlations between mindfulness and SW. In this study, there were clear correlations between mindfulness, PS, and SW across different primary care professional categories and time in the same job position, suggesting specific vulnerabilities that should be addressed through the development of staff awareness, stress prevention, and well-being interventions.","['Brazilepidemiology', 'Burnout, Professionalepidemiology', 'Cross-Sectional Studies', 'Female', 'Health Personnelstatistics & numerical data', 'Humans', 'Male', 'Mindfulness', 'Primary Health Care', 'Stress, Psychologicalepidemiology']",[],Journal Article
30544532,"An Explanatory Model of Emotional Intelligence and Its Association with Stress, Burnout Syndrome, and Non-Verbal Communication in the University Teachers.","The present study set out to define and contrast an explanatory model of perception of stress, the dimensions of burnout syndrome, emotional intelligence, and non-verbal communication in a sample of university teachers. A total of 1316 teachers from Spain, aged between 24 and 70 years (M = 45.64, SD = 10.33) and evenly distributed between both sexes, participated. The measurement instruments employed were the Perceived Stress Scale (PSS), the Maslach Burnout Inventory (MBI), the Trait Meta-Mood Scale (TMMS-24), and the Nonverbal Immediacy Scale (NIS) A structural equation model was produced that demonstrated adequate fit to the empirical data (130,259; df = 9; p < 0.001; CFI = 0.907; NIF = 0.914; IFI = 0.923; RMSEA = 0.077). Results revealed that stress relates positively with emotional exhaustion and negatively with personal fulfilment. Emotional exhaustion was associated directly with emotional attention and inversely with emotional clarity and emotional repair, with these being linked to personal fulfilment. Both emotional clarity and repair related positively with non-verbal communication. Conclusions from the present study are that emotional intelligence and body language are two relevant factors in the prevention of burnout syndrome, and as a result can help to ensure the mental wellbeing of university teachers.",[],"['burnout', 'emotional intelligence', 'mental health', 'nonverbal communication', 'stress', 'university teachers']",Journal Article
32963984,Nurses' Job Burnout: A Hybrid Concept Analysis.,"Introduction: Job burnout can significantly affect nurses' physical and mental health and the quality of the care services they provide. Yet, there is no clear definition for job burnout in nursing. This study aimed to analyze the concept of nurses' occupational burnout. Methods: This concept analysis was conducted, using the three-phase hybrid model. In the theoretical phase, online databases, namely Iranmedex, Scientific Information Database (SID), Science Direct, MagIran, ProQuest, Web of Sciences, Scopus, and PubMed were searched to retrieve studies published from 2007 to 2018. In the fieldwork phase, twelve semi-structured interviews were conducted with nurses and head-nurses selected from teaching hospitals in Isfahan, Iran. The interviews were transcribed and analyzed through thematic analysis. In the final analytic phase, the findings of the first and the second phases were combined. Results: Based on the findings of the theoretical and the fieldwork phases, job burnout can be defined as, ""a state of physical, mental, emotional, and social exhaustion resulting from the negative effects of unmanaged occupational stress and inadequate managerial and social support, which reduces interest in and motivation for work, affects care quality, and results in negative attitudes and behavior towards self, clients, and the work"". Conclusion: This study provides an in-depth understanding of the concept of job burnout in the nursing context of Iran. Managers need to develop strategies for job burnout prevention and management based on its contributing factors.",[],"['Concept analysis', 'Job burnout', 'Nursing']",Journal Article
16255316,Stress in health professions students: myth or reality? A review of the existing literature.,"The purpose of this literature review was to determine the extent to which health profession students experience counterproductive stress and to examine the existing gaps in the literature concerning all health profession students and stress. The literature search process included using Eric, Education Abstracts, Psyc INFO, ABIN, WebSpirs Databases, FactSearch, Biological Sciences, International Pharmaceutical Abstracts, MEDLINE, Lexis-Nexis, CINAHL and Registry of Nursing Research. Key articles were identified that documented stress, the causes of stress or ""stressors,"" and psychiatric symptoms as a result of counterproductive stress in the disciplines of medicine, dentistry, nursing, and allied health. Findings from this analysis of the literature indicated that the highest incidence of stress occurred in medical students followed by dental and then nursing students. There was, however, a dearth of studies related to stress in pharmacy students alone, despite the fact that pharmacology requires a rigorous educational process that is similar to that of the other health professions. While it may be argued that pharmacy students may not be experiencing the detrimental levels of stress that affect other medical students, a study by Henning Ey, & Shaw (1998) found a disproportionately high level of distress in pharmacy students. The Henning study also compared the stress levels of medical, dental, nursing, and pharmacy students. This literature review documents that health profession students suffer from high levels of stress during their training. A comprehensive list of ""stressors"" is delineated for the health education profession students. However, there appears to be a lack of emperical evidence with regards to stress and stressors in pharmacy students. Although it can be extrapolated that pharmacy students may be suffering from similar levels of stress, there is a definite need for research in pharmacy students specifically.","['Burnout, Professionalepidemiologyetiologyprevention & controlpsychology', 'Conflict, Psychological', 'Familypsychology', 'Health Services Needs and Demand', 'Humans', 'Interprofessional Relations', 'Mental Health', 'Occupational Health', 'Peer Group', 'Risk Factors', 'Self Concept', 'Social Support', 'Student Dropouts', 'Students, Health Occupationspsychologystatistics & numerical data', 'Time Management', 'Workload']",[],Review
34492431,Academic stress and depression of Chinese adolescents in junior high schools: Moderated mediation model of school burnout and self-esteem.,"Background Despite previous research indicates that academic stress is a risk factor for students' mental health, the mediating and moderating mechanisms underlying this relationship are less known. This study tests the mediation effect of school burnout in the association between academic stress and adolescent depression, and whether this mediation is moderated by self-esteem. Methods A sample of 552 Chinese adolescents in junior high schools (mean age = 14.48 years, SD = 0.98) is obtained through multi-stage cluster random sampling. Mediation and moderation analyses are carried out in SPSS macro PROCESS. Results The association between academic stress and depression is found to be mediated by school burnout (b = 0.200, 95% CI [0.145, 0.263]). Moreover, the effect of school burnout on depression is moderated by self-esteem, with the effect being stronger for adolescents with low self-esteem (b = 0.377, p < 0.001) than for those with high self-esteem (b = 0.218, p < 0.001). Limitations The cross-sectional design of the study does not allow causal inferences. Conclusions These findings contribute to the understanding of how academic stress predicts adolescent depression, and provide practical implications for prevention and intervention programs to protect adolescents' mental health in the school setting.","['Adolescent', 'Burnout, Psychological', 'China', 'Cross-Sectional Studies', 'Humans', 'Schools', 'Self Concept']","['Academic stress', 'Depression', 'School burnout', 'Self-esteem']",Journal Article
